Id,Label,Family
Tysha,Tysha,
Tywin-Lannister,Tywin,Lannister
Urzen,Urzen,
Utherydes-Wayn,Utherydes Wayn,
Vargo-Hoat,Vargo Hoat,
Varys,Varys,
Victarion-Greyjoy,Victarion Greyjoy,Greyjoy
Visenya-Targaryen,Visenya Targaryen,Targaryen
Viserys-Targaryen,Viserys,Targaryen
Vylarr,Vylarr,
Vyman,Vyman,
Walder-Frey,Walder Frey,Frey
Walder-Frey-(son-of-Jammos),Walder Frey (son of Jamos),Frey
Walder-Frey-(son-of-Merrett),Walder Frey (son of Merrett),Frey
Weasel,Weasel,
Weese,Weese,
Wendel-Manderly,Wendel Manderly,
Werlag,Werlag,
Wex-Pyke,Wex Pyke,
Woth,Woth,
Wyman-Manderly,Wyman Manderly,
Xaro-Xhoan-Daxos,Xaro Xhoan Daxos,
Ygritte,Ygritte,
Yoren,Yoren,
