Id,Label,Family
Eddison-Tollett,Eddison Tollett,
Edmure-Tully,Edmure Tully,Tully
Edwyn-Frey,Edwyn Frey,Frey
Elbert-Arryn,Elbert Arryn,Arryn
Elder-Brother,Elder Brother,
Elia-Martell,Elia Martell,Martell
Elinor-Tyrell,Elinor Tyrell,Tyrell
Elys-Waynwood,Elys Waynwood,
Emmon-Frey,Emmon Frey,Frey
Emmond,Emmond,
Euron-Greyjoy,Euron Greyjoy,Greyjoy
Eustace-Brune,Eustace Brune,
Falyse-Stokeworth,Falyse Stokeworth,
Forley-Prester,Forley Prester,
Franklyn-Fowler,Franklyn Fowler,
Garin-(orphan),Garin (orphan),
Garlan-Tyrell,Garlan Tyrell,Tyrell
Garrett-Paege,Garrett Paege,
Garth-Tyrell,Garth Tyrell,Tyrell
Gendry,Gendry,
Genna-Lannister,Genna Lannister,Lannister
Gerold-Dayne,Gerold Dayne,
Gerold-Grafton,Gerold Grafton,
Gilly,Gilly,
Gilwood-Hunter,Gilwood Hunter,
Gormon-Tyrell,Gormon Tyrell,Tyrell
Gormond-Goodbrother,Gormond Goodbrother,
Gorold-Goodbrother,Gorold Goodbrother,
Gregor-Clegane,Gregor Clegane,
Grenn,Grenn,
Gretchel,Gretchel,
Greydon-Goodbrother,Greydon Goodbrother,
Gyles-Grafton,Gyles Grafton,
Gyles-Rosby,Gyles Rosby,
Harras-Harlaw,Harras Harlaw,
Harrold-Hardyng,Harrold Hardyng,
Harys-Swyft,Harys Swyft,
High-Septon-(Tyrions),High Septon (Tyrions),
High-Sparrow,High Sparrow,
Horton-Redfort,Horton Redfort,
Hotho-Harlaw,Hotho Harlaw,
Hugo-Vance,Hugo Vance,
Humfrey-Hewett,Humfrey Hewett,
Hyle-Hunt,Hyle Hunt,
Illifer,Illifer,
Ilyn-Payne,Ilyn Payne,
Jaehaerys-I-Targaryen,Jaehaerys I Targaryen,Targaryen
Jaime-Lannister,Jaime Lannister,Lannister
Jalabhar-Xho,Jalabhar Xho,
Jeor-Mormont,Jeor Mormont,
Jeyne-Farman,Jeyne Farman,
Jeyne-Heddle,Jeyne Heddle,
Jeyne-Westerling,Jeyne Westerling,
Jocelyn-Swyft,Jocelyn Swyft,
Joffrey-Baratheon,Joffrey Baratheon,Baratheon
Jon-Arryn,Jon Arryn,Arryn
Jon-Snow,Jon Snow,Stark
Josmyn-Peckledon,Josmyn Peckledon,
Joy-Hill,Joy Hill,
Karyl-Vance,Karyl Vance,
Kevan-Lannister,Kevan Lannister,Lannister
Kindly-Man,Kindly Man,
Kojja-Mo,Kojja Mo,
Lambert-Turnberry,Lambert Turnberry,
Lancel-Lannister,Lancel Lannister,Lannister
Lanna-(Happy-Port),Lanna (Happy Port),
Leo-Tyrell,Leo Tyrell,Tyrell
Lewys-Piper,Lewys Piper,
Lollys-Stokeworth,Lollys Stokeworth,
Loras-Tyrell,Loras Tyrell,Tyrell
Lothor-Brune,Lothor Brune,
Lucas-Codd,Lucas Codd,
Luwin,Luwin,
Lyle-Crakehall,Lyle Crakehall,
Lyn-Corbray,Lyn Corbray,
Lyonel-Corbray,Lyonel Corbray,
Lysa-Arryn,Lysa Arryn,Arryn
Mace-Tyrell,Mace Tyrell,Tyrell
Maddy,Maddy,
Maegor-I-Targaryen,Maegor I Targaryen,Targaryen
Maggy,Maggy,
Manfrey-Martell,Manfrey Martell,Martell
Margaery-Tyrell,Margaery Tyrell,Tyrell
Marillion,Marillion,
Mariya-Darry,Mariya Darry,
Mark-Mullendore,Mark Mullendore,
Marwyn,Marwyn,
Mathis-Rowan,Mathis Rowan,
Megga-Tyrell,Megga Tyrell,Tyrell
Melara-Hetherspoon,Melara Hetherspoon,
Meldred-Merlyn,Meldred Merlyn,
Melisandre,Melisandre,
Mellei,Mellei,
Meralyn,Meralyn,
Meribald,Meribald,
Meryn-Trant,Meryn Trant,
Mollander,Mollander,
Moon-Boy,Moon Boy,
Morra,Morra,
Murenmure,Murenmure,
Mya-Stone,Mya Stone,
Myranda-Royce,Myranda Royce,
Myrcella-Baratheon,Myrcella Baratheon,Baratheon
Nan,Nan,
Narbert,Narbert,
Nestor-Royce,Nestor Royce,
Nute,Nute,
Nymeria-Sand,Nymeria Sand,
Obara-Sand,Obara Sand,
Oberyn-Martell,Oberyn Martell,Martell
Olenna-Redwyne,Olenna Redwyne,
Orton-Merryweather,Orton Merryweather,
Osfryd-Kettleblack,Osfryd Kettleblack,
Osmund-Kettleblack,Osmund Kettleblack,
Osney-Kettleblack,Osney Kettleblack,
Owen-Merryweather,Owen Merryweather,
Pate-(novice),Pate (novice),
Pate-(whipping-boy),Pate (whipping boy),
Paxter-Redwyne,Paxter Redwyne,
Petyr-Baelish,Petyr Baelish,
Pia,Pia,
Podrick-Payne,Podrick Payne,
Puckens,Puckens,
Pycelle,Pycelle,
Pyg,Pyg,
Pypar,Pypar,
Qhorin-Halfhand,Qhorin Halfhand,
Quellon-Greyjoy,Quellon Greyjoy,Greyjoy
Quentyn-Martell,Quentyn Martell,Martell
Quhuru-Mo,Quhuru Mo,
Quill,Quill,
Qyburn,Qyburn,
Rafford,Rafford,
Ralf-(Limper),Ralf (Limper),
Ralf-Stonehouse,Ralf Stonehouse,
Randyll-Tarly,Randyll Tarly,
Raynard,Raynard,
Red-Oarsman,Red Oarsman,
Renly-Baratheon,Renly Baratheon,Baratheon
Rennifer-Longwaters,Rennifer Longwaters,
Rhaegar-Targaryen,Rhaegar Targaryen,Targaryen
Ricasso,Ricasso,
Rickon-Stark,Rickon Stark,Stark
Robb-Stark,Robb Stark,Stark
Robert-Arryn,Robert Arryn,Arryn
Robert-Baratheon,Robert Baratheon,Baratheon
Rodrik-Harlaw,Rodrik Harlaw,
Ronnet-Connington,Ronnet Connington,
Roone,Roone,
Roose-Bolton,Roose Bolton,
Rosey,Rosey,
Roslin-Frey,Roslin Frey,Frey
Rugen,Rugen,
Rus,Rus,
Ryman-Frey,Ryman Frey,Frey
Samwell-Tarly,Samwell Tarly,
Sandor-Clegane,Sandor Clegane,
Sansa-Stark,Sansa Stark,Stark
Sarella-Sand,Sarella Sand,
Sawane-Botley,Sawane Botley,
Senelle,Senelle,
Shadrich,Shadrich,
Shae,Shae,
Shagwell,Shagwell,
Shitmouth,Shitmouth,
Shortear,Shortear,
Sigfryd-Harlaw,Sigfryd Harlaw,
Stannis-Baratheon,Stannis Baratheon,Baratheon
Sybell-Spicer,Sybell Spicer,
Sylva-Santagar,Sylva Santagar,
Symond-Templeton,Symond Templeton,
Syrio-Forel,Syrio Forel,
Taena-of-Myr,Taena of Myr,
Talbert-Serry,Talbert Serry,
Talea,Talea,
Tallad,Tallad,
Tanda-Stokeworth,Tanda Stokeworth,
Ternesio-Terys,Ternesio Terys,
Terrance-Lynderly,Terrance Lynderly,
Theobald,Theobald,
Theon-Greyjoy,Theon Greyjoy,Greyjoy
Thoros-of-Myr,Thoros of Myr,
Tickler,Tickler,
Timeon,Timeon,
Timoth,Timoth,
Tommen-Baratheon,Tommen Baratheon,Baratheon
Torbert,Torbert,
Torwold-Browntooth,Torwold Browntooth,
Tristifer-Botley,Tristifer Botley,
Trystane-Martell,Trystane Martell,Martell
Tyene-Sand,Tyene Sand,
Tyrion-Lannister,Tyrion Lannister,Lannister
Tywin-Lannister,Tywin Lannister,Lannister
Umma,Umma,
Unella,Unella,
Vargo-Hoat,Vargo Hoat,
Varys,Varys,
Victarion-Greyjoy,Victarion Greyjoy,Greyjoy
Waif,Waif,
Walder-Frey,Walder Frey,Frey
Walder-Rivers,Walder Rivers,
Walgrave,Walgrave,
Willas-Tyrell,Willas Tyrell,Tyrell
Willow-Heddle,Willow Heddle,
Wylis-Manderly,Wylis Manderly,
Xhondo,Xhondo,
Yohn-Royce,Yohn Royce,
Yorko-Terys,Yorko Terys,
Zollo,Zollo,
